Name,Bibtex,GitHub
Arctic-TILT,borchmann2025arctic,https://github.com/Snowflake-Labs/arctic-tilt
AVIR,li2025avir,https://github.com/Li-yachuan/AVIR-main
DocAgent,sun2025docagent,https://github.com/lisun-ai/DocAgent
DocSLM,hannan2025docslm,https://github.com/Tanveer81/DocSLM
Docopilot,duan2025docopilot,https://github.com/OpenGVLab/Docopilot
Hi-VT5,tito2023hierarchical,https://github.com/rubenpt91/MP-DocVQA-Framework
InstructDoc,tanaka2024instructdoc,https://github.com/nttmdlab-nlp/InstructDoc
KGP,wang2024knowledge,https://github.com/YuWVandy/KG-LLM-MDQA
Leopard,jia2024leopard,https://github.com/tencent-ailab/Leopard
MDocAgent,han2025mdocagent,https://github.com/aiming-lab/MDocAgent
MoLoRAG,wu2025molorag,https://github.com/WxxShirley/MoLoRAG
mPLUG-DocOwl2,hu2025mplug2,https://github.com/X-PLUG/mPLUG-DocOwl
PDF-WuKong,xie2024wukong,https://github.com/yhhust/PDF-Wukong
Self-Attention Scoring,kang2024multi,https://github.com/leitro/SelfAttnScoring-MPDocVQA
SimpleDoc,jain2025simpledoc,https://github.com/ag2ai/SimpleDoc
ViDoRAG,wang2025vidorag,https://github.com/Alibaba-NLP/ViDoRAG
